Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes,Home_Clean,Away_Clean,Home_Score,Away_Score,Leg 1,Leg 2,Extra Time Required,Home_Score_2,Away_Score_2,Home_Pens,Away_Pens
Group stage,4,Tue,11-10-2022,21:00,Dinamo Zagrebhr,0.9,1–1,1.3,atRB Salzburg,"20,779",Stadion Maksimir,Tobias Stieler,Match Report,,Dinamo Zagreb,RB Salzburg,1,1,0,0,0,,,,
Group stage,4,Tue,11-10-2022,22:00,Shakhtarua,0.5,1–1,1.1,esReal Madrid,"29,030",Stadion Miejski Legii Warszawa im. Marsz...,Orel Grinfeeld,Match Report,,Shakhtar,Real Madrid,1,1,0,0,0,,,,
Group stage,4,Wed,12-10-2022,18:45,Napoliit,3.2,4–2,1.6,nlAjax,"52,229",Stadio Diego Armando Maradona,Felix Zwayer,Match Report,,Napoli,Ajax,4,2,0,0,0,,,,
Group stage,4,Wed,12-10-2022,18:45,Atlético Madrides,2.3,0–0,0.6,beClub Brugge,"60,810",Estadio Cívitas Metropolitano,Danny Makkelie,Match Report,,Atlético Madrid,Club Brugge,0,0,0,0,0,,,,
Group stage,4,Wed,12-10-2022,20:00,Sporting CPpt,0.3,0–2,2.8,frMarseille,"38,126",Estádio José Alvalade,Alejandro Hernández,Match Report,,Sporting CP,Marseille,0,2,0,0,0,,,,
Group stage,4,Wed,12-10-2022,20:00,Rangerssct,0.5,1–7,2.2,engLiverpool,"48,820",Ibrox Stadium,Slavko Vinčič,Match Report,,Rangers,Liverpool,1,7,0,0,0,,,,
Group stage,4,Wed,12-10-2022,20:00,Tottenhameng,3,3–2,1.2,deEint Frankfurt,"55,180",Tottenham Hotspur Stadium,Carlos del Cerro,Match Report,,Tottenham,Eint Frankfurt,3,2,0,0,0,,,,
Group stage,4,Wed,12-10-2022,21:00,Viktoria Plzeňcz,1.2,2–4,3,deBayern Munich,"11,326",Doosan Arena,Bartosz Frankowski,Match Report,,Viktoria Plzeň,Bayern Munich,2,4,0,0,0,,,,
Group stage,4,Wed,12-10-2022,21:00,Leverkusende,2.2,0–3,1.8,ptPorto,"30,210",BayArena,István Kovács,Match Report,,Leverkusen,Porto,0,3,0,0,0,,,,
Group stage,4,Wed,12-10-2022,21:00,Barcelonaes,2.2,3–3,2,itInter,"92,302",Camp Nou,Szymon Marciniak,Match Report,,Barcelona,Inter,3,3,0,0,0,,,,
,,,,,,,,,,,,,,,#VALUE!,,,,,,,,,,
Group stage,5,Tue,25-10-2022,18:45,Sevillaes,1,3–0,1.1,dkFC Copenhagen,"29,884",Estadio Ramón Sánchez Pizjuán,Benoît Bastien,Match Report,,Sevilla,FC Copenhagen,3,0,0,0,0,,,,
Group stage,5,Tue,25-10-2022,18:45,RB Salzburgat,1.6,1–2,1.5,engChelsea,"29,520",Red Bull Arena,Sandro Schärer,Match Report,,RB Salzburg,Chelsea,1,2,0,0,0,,,,
Group stage,5,Tue,25-10-2022,20:00,Benficapt,3.3,4–3,2.4,itJuventus,"60,131",Estádio do Sport Lisboa e Benfica,Srđan Jovanović,Match Report,,Benfica,Juventus,4,3,0,0,0,,,,
Group stage,5,Tue,25-10-2022,20:00,Celticsct,1.4,1–1,0.8,uaShakhtar,"57,478",Celtic Park,Serdar Gözübüyük,Match Report,,Celtic,Shakhtar,1,1,0,0,0,,,,
Group stage,5,Tue,25-10-2022,21:00,Paris S-Gfr,2.6,7–2,0.8,ilMaccabi Haifa,"46,435",Parc des Princes,Felix Zwayer,Match Report,,Paris S-G,Maccabi Haifa,7,2,0,0,0,,,,
Group stage,5,Tue,25-10-2022,21:00,Dortmundde,1.2,0–0,1.2,engManchester City,"81,000",Signal Iduna Park,Davide Massa,Match Report,,Dortmund,Manchester City,0,0,0,0,0,,,,
Group stage,5,Tue,25-10-2022,21:00,RB Leipzigde,2.2,3–2,2.1,esReal Madrid,"45,228",Red Bull Arena,Daniele Orsato,Match Report,,RB Leipzig,Real Madrid,3,2,0,0,0,,,,
Group stage,5,Tue,25-10-2022,21:00,Dinamo Zagrebhr,0.7,0–4,3.2,itMilan,"20,572",Stadion Maksimir,Szymon Marciniak,Match Report,,Dinamo Zagreb,Milan,0,4,0,0,0,,,,
Group stage,5,Wed,26-10-2022,18:45,Club Bruggebe,1.4,0–4,3.2,ptPorto,"26,144",Jan Breydelstadion,Michael Oliver,Match Report,,Club Brugge,Porto,0,4,0,0,0,,,,
Group stage,5,Wed,26-10-2022,18:45,Interit,3.2,4–0,0.1,czViktoria Plzeň,"71,849",Stadio Giuseppe Meazza,Andreas Ekberg,Match Report,,Inter,Viktoria Plzeň,4,0,0,0,0,,,,
Group stage,5,Wed,26-10-2022,20:00,Tottenhameng,1.7,1–1,0.8,ptSporting CP,"59,588",Tottenham Hotspur Stadium,Danny Makkelie,Match Report,,Tottenham,Sporting CP,1,1,0,0,0,,,,
Group stage,5,Wed,26-10-2022,21:00,Eint Frankfurtde,1.1,2–1,0.7,frMarseille,"48,700",Deutsche Bank Park,Jesús Gil,Match Report,,Eint Frankfurt,Marseille,2,1,0,0,0,,,,
Group stage,5,Wed,26-10-2022,21:00,Atlético Madrides,2.6,2–2,1.5,deLeverkusen,"63,803",Estadio Cívitas Metropolitano,Clément Turpin,Match Report,,Atlético Madrid,Leverkusen,2,2,0,0,0,,,,
Group stage,5,Wed,26-10-2022,21:00,Barcelonaes,0.7,0–3,2.1,deBayern Munich,"84,016",Camp Nou,Anthony Taylor,Match Report,,Barcelona,Bayern Munich,0,3,0,0,0,,,,
Group stage,5,Wed,26-10-2022,21:00,Ajaxnl,1.2,0–3,1.6,engLiverpool,"53,327",Johan Cruyff ArenA,José Sánchez,Match Report,,Ajax,Liverpool,0,3,0,0,0,,,,
Group stage,5,Wed,26-10-2022,21:00,Napoliit,1.8,3–0,0.7,sctRangers,"39,835",Stadio Diego Armando Maradona,Halil Umut Meler,Match Report,,Napoli,Rangers,3,0,0,0,0,,,,
,,,,,,,,,,,,,,,#VALUE!,,,,,,,,,,
Group stage,6,Tue,01-11-2022,17:45,Portopt,2.7,2–1,0.8,esAtlético Madrid,"47,546",Estádio Do Dragão,Daniele Orsato,Match Report,,Porto,Atlético Madrid,2,1,0,0,0,,,,
Group stage,6,Tue,01-11-2022,18:45,Leverkusende,1.1,0–0,0.5,beClub Brugge,"30,210",BayArena,Maurizio Mariani,Match Report,,Leverkusen,Club Brugge,0,0,0,0,0,,,,
Group stage,6,Tue,01-11-2022,20:00,Liverpooleng,2.4,2–0,0.4,itNapoli,"52,077",Anfield,Tobias Stieler,Match Report,,Liverpool,Napoli,2,0,0,0,0,,,,
Group stage,6,Tue,01-11-2022,20:00,Rangerssct,1.8,1–3,1.8,nlAjax,"48,817",Ibrox Stadium,Glenn Nyberg,Match Report,,Rangers,Ajax,1,3,0,0,0,,,,
Group stage,6,Tue,01-11-2022,20:00,Sporting CPpt,0.5,1–2,1.2,deEint Frankfurt,"41,744",Estádio José Alvalade,Slavko Vinčič,Match Report,,Sporting CP,Eint Frankfurt,1,2,0,0,0,,,,
Group stage,6,Tue,01-11-2022,21:00,Marseillefr,1.4,1–2,0.6,engTottenham,"50,768",Orange Vélodrome,Szymon Marciniak,Match Report,,Marseille,Tottenham,1,2,0,0,0,,,,
Group stage,6,Tue,01-11-2022,21:00,Bayern Munichde,1.5,2–0,0.7,itInter,"75,000",Allianz Arena,Ivan Kružliak,Match Report,,Bayern Munich,Inter,2,0,0,0,0,,,,
Group stage,6,Tue,01-11-2022,21:00,Viktoria Plzeňcz,2.6,2–4,2.3,esBarcelona,"11,258",Doosan Arena,Radu Petrescu,Match Report,,Viktoria Plzeň,Barcelona,2,4,0,0,0,,,,
Group stage,6,Wed,02-11-2022,18:45,Real Madrides,3.8,5–1,2.1,sctCeltic,"52,511",Estadio Santiago Bernabéu,Stéphanie Frappart,Match Report,,Real Madrid,Celtic,5,1,0,0,0,,,,
Group stage,6,Wed,02-11-2022,19:45,Shakhtarua,0.2,0–4,2.2,deRB Leipzig,"26,045",Stadion Miejski Legii Warszawa im. Marsz...,Michael Oliver,Match Report,,Shakhtar,RB Leipzig,0,4,0,0,0,,,,
Group stage,6,Wed,02-11-2022,20:00,Manchester Cityeng,2,3–1,0.4,esSevilla,"51,610",Etihad Stadium,Orel Grinfeeld,Match Report,,Manchester City,Sevilla,3,1,0,0,0,,,,
Group stage,6,Wed,02-11-2022,20:00,Chelseaeng,2.7,2–1,0.9,hrDinamo Zagreb,"39,392",Stamford Bridge,François Letexier,Match Report,,Chelsea,Dinamo Zagreb,2,1,0,0,0,,,,
Group stage,6,Wed,02-11-2022,21:00,FC Copenhagendk,1.8,1–1,1.2,deDortmund,"31,900",Parken,Əliyar Ağayev,Match Report,,FC Copenhagen,Dortmund,1,1,0,0,0,,,,
Group stage,6,Wed,02-11-2022,21:00,Juventusit,1.6,1–2,0.5,frParis S-G,"41,089",Allianz Stadium,Carlos del Cerro,Match Report,,Juventus,Paris S-G,1,2,0,0,0,,,,
Group stage,6,Wed,02-11-2022,21:00,Milanit,1.8,4–0,1.6,atRB Salzburg,"74,292",Stadio Giuseppe Meazza,Antonio Matéu Lahoz,Match Report,,Milan,RB Salzburg,4,0,0,0,0,,,,
Group stage,6,Wed,02-11-2022,22:00,Maccabi Haifail,1.6,1–6,1.5,ptBenfica,"30,464",Sammy Ofer Stadium,Anthony Taylor,Match Report,,Maccabi Haifa,Benfica,1,6,0,0,0,,,,
,,,,,,,,,,,,,,,#VALUE!,,,,,,,,,,
Round of 16,,Tue,14-02-2023,21:00,Paris S-Gfr,,,,deBayern Munich,,Parc des Princes,,Head-to-Head,Leg 1 of 2,Paris S-G,Bayern Munich,#VALUE!,,1,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Tue,14-02-2023,21:00,Milanit,,,,engTottenham,,Stadio Giuseppe Meazza,,Head-to-Head,Leg 1 of 2,Milan,Tottenham,#VALUE!,,1,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Wed,15-02-2023,21:00,Dortmundde,,,,engChelsea,,Signal Iduna Park,,Head-to-Head,Leg 1 of 2,Dortmund,Chelsea,#VALUE!,,1,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Wed,15-02-2023,21:00,Club Bruggebe,,,,ptBenfica,,Jan Breydelstadion,,Head-to-Head,Leg 1 of 2,Club Brugge,Benfica,#VALUE!,,1,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Tue,21-02-2023,20:00,Liverpooleng,,,,esReal Madrid,,Anfield,,Head-to-Head,Leg 1 of 2,Liverpool,Real Madrid,#VALUE!,,1,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Tue,21-02-2023,21:00,Eint Frankfurtde,,,,itNapoli,,Deutsche Bank Park,,Head-to-Head,Leg 1 of 2,Eint Frankfurt,Napoli,#VALUE!,,1,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Wed,22-02-2023,21:00,RB Leipzigde,,,,engManchester City,,Red Bull Arena,,Head-to-Head,Leg 1 of 2,RB Leipzig,Manchester City,#VALUE!,,1,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
